id,sessionid,T,sex,age,political,x1,x2,e1,e2,y1,y2,shareX
129,"LMDOH",1,1,20,3,8,17,0,2.55,1,1.55,.3921569
223,"YGNEO",2,1,20,4,21,21,3.15,3.15,3.15,3.15,.5
336,"JMTHA",1,1,20,4,9,14,0,2.1,0,2.1,0
193,"EXNFO",1,2,20,4,11,15,0,2.25,1,1.25,.4444444
230,"YGNEO",1,1,20,4,13,20,0,3,1,2,.3333333
255,"YGNEO",1,1,20,4,20,20,3,3,3,3,.5
21,"CELBZ",4,1,20,4,18,16,0,3.15,1.575,1.575,.5
283,"YGNEO",1,2,20,2,13,20,0,3,1,2,.3333333
264,"YGNEO",1,1,20,2,14,19,0,2.85,0,2.85,0
114,"LMDOH",1,1,20,5,15,19,0,2.85,1,1.85,.3508772
36,"CELBZ",3,1,20,4,18,19,0,2.85,0,2.85,0
244,"YGNEO",1,2,20,2,10,12,0,1.8,0,1.8,0
97,"LMDOH",4,1,20,2,16,15,0,3.6,1.5,2.1,.4166667
228,"YGNEO",2,2,20,2,17,21,0,3.15,1,2.15,.3174603
207,"EXNFO",2,2,20,2,15,20,0,3,0,3,0
202,"EXNFO",2,1,20,3,23,24,0,3.6,1,2.6,.2777778
87,"LMDOH",3,1,20,4,19,21,0,3.15,0,3.15,0
155,"EXNFO",2,1,20,4,17,18,0,2.7,1,1.7,.3703704
121,"LMDOH",1,2,20,3,15,16,0,2.4,0,2.4,0
62,"CELBZ",1,2,20,5,20,22,0,3.3,0,3.3,0
162,"EXNFO",2,2,20,3,14,18,0,2.7,0,2.7,0
146,"EXNFO",2,2,20,3,17,17,2.55,2.55,3.55,1.55,.6960784
60,"CELBZ",4,2,20,3,16,22,0,3.3,1,2.3,.3030303
71,"LMDOH",3,1,20,4,19,20,0,3,1,2,.3333333
318,"JMTHA",1,1,20,3,10,21,0,3.15,1,2.15,.3174603
54,"CELBZ",4,1,20,5,12,18,2.55,2.55,2.55,2.55,.5
93,"LMDOH",1,2,20,2,18,22,0,3.3,0,3.3,0
163,"EXNFO",2,1,20,4,22,24,0,3.6,0,3.6,0
335,"JMTHA",3,2,21,4,14,22,0,3.3,0,3.3,0
346,"JMTHA",1,2,21,4,9,15,0,2.25,0,2.25,0
272,"YGNEO",1,2,21,4,16,21,0,3.15,.75,2.4,.2380952
33,"CELBZ",4,1,21,3,22,17,0,2.4,0,2.4,0
351,"JMTHA",1,2,21,4,17,24,0,3.6,1,2.6,.2777778
352,"JMTHA",1,1,21,3,11,21,0,3.15,0,3.15,0
344,"JMTHA",2,2,21,4,15,18,0,2.7,1,1.7,.3703704
259,"YGNEO",2,1,21,5,18,19,0,2.85,0,2.85,0
132,"LMDOH",1,2,21,4,8,8,1.2,1.2,2.4,0,1
182,"EXNFO",2,2,21,3,16,16,2.4,2.4,2.4,2.4,.5
45,"CELBZ",4,2,21,2,10,20,0,3.6,1.8,1.8,.5
275,"YGNEO",1,1,21,2,12,23,0,3.45,1.2,2.25,.3478261
190,"EXNFO",4,1,21,4,18,14,0,3.45,3.44,.01,.9971014
151,"EXNFO",2,2,21,4,16,23,0,3.45,1,2.45,.2898551
263,"YGNEO",2,1,21,4,10,21,0,3.15,.25,2.9,.0793651
67,"CELBZ",2,1,21,4,10,22,0,3.3,1.2,2.1,.3636364
141,"LMDOH",3,2,21,2,10,15,0,2.25,1,1.25,.4444444
195,"EXNFO",3,2,21,3,11,17,0,2.55,0,2.55,0
143,"EXNFO",2,2,21,4,15,19,0,2.85,0,2.85,0
313,"JMTHA",2,1,21,4,11,24,0,3.6,0,3.6,0
191,"EXNFO",1,1,21,4,10,18,0,2.7,0,2.7,0
337,"JMTHA",1,1,21,4,22,22,3.3,3.3,3.3,3.3,.5
340,"JMTHA",2,1,21,4,20,23,0,3.45,0,3.45,0
245,"YGNEO",1,1,21,4,14,18,0,2.7,0,2.7,0
124,"LMDOH",3,1,21,2,18,20,0,3,1.3,1.7,.4333333
200,"EXNFO",4,1,21,4,12,18,0,2.7,1,1.7,.3703704
37,"CELBZ",1,2,21,4,16,19,0,2.85,1,1.85,.3508772
75,"LMDOH",1,2,21,2,14,15,0,2.25,1,1.25,.4444444
